N,metodo,rep,t_ms,peso_mst
32,sort_compresion,1,0.00000000,0.69830266
32,heap_compresion,1,0.00000000,0.69830266
32,sort_sincompresion,1,0.00000000,0.69830266
32,heap_sincompresion,1,0.00000000,0.69830266
32,sort_compresion,2,0.00000000,0.76802782
32,heap_compresion,2,0.00000000,0.76802782
32,sort_sincompresion,2,1.50420000,0.76802782
32,heap_sincompresion,2,0.00000000,0.76802782
32,sort_compresion,3,0.00000000,0.62481684
32,heap_compresion,3,0.00000000,0.62481684
32,sort_sincompresion,3,0.00000000,0.62481684
32,heap_sincompresion,3,0.00000000,0.62481684
32,sort_compresion,4,0.00000000,0.62771467
32,heap_compresion,4,0.00000000,0.62771467
32,sort_sincompresion,4,0.00000000,0.62771467
32,heap_sincompresion,4,1.01300000,0.62771467
32,sort_compresion,5,0.00000000,0.56464633
32,heap_compresion,5,0.00000000,0.56464633
32,sort_sincompresion,5,0.00000000,0.56464633
32,heap_sincompresion,5,0.00000000,0.56464633
64,sort_compresion,1,0.99800000,0.60007477
64,heap_compresion,1,0.00000000,0.60007477
64,sort_sincompresion,1,1.00200000,0.60007477
64,heap_sincompresion,1,0.00000000,0.60007477
64,sort_compresion,2,0.99820000,0.55709277
64,heap_compresion,2,0.00000000,0.55709277
64,sort_sincompresion,2,1.00120000,0.55709277
64,heap_sincompresion,2,0.00000000,0.55709277
64,sort_compresion,3,1.00060000,0.57985458
64,heap_compresion,3,0.00000000,0.57985458
64,sort_sincompresion,3,1.02270000,0.57985458
64,heap_sincompresion,3,1.00500000,0.57985458
64,sort_compresion,4,1.01020000,0.58097978
64,heap_compresion,4,1.03510000,0.58097978
64,sort_sincompresion,4,0.00000000,0.58097978
64,heap_sincompresion,4,0.00000000,0.58097978
64,sort_compresion,5,0.00000000,0.52447386
64,heap_compresion,5,0.00000000,0.52447386
64,sort_sincompresion,5,1.00210000,0.52447386
64,heap_sincompresion,5,1.00000000,0.52447386
128,sort_compresion,1,3.01030000,0.59665047
128,heap_compresion,1,0.99720000,0.59665047
128,sort_sincompresion,1,2.51590000,0.59665047
128,heap_sincompresion,1,3.00740000,0.59665047
128,sort_compresion,2,2.04280000,0.54356804
128,heap_compresion,2,1.95990000,0.54356804
128,sort_sincompresion,2,2.03230000,0.54356804
128,heap_sincompresion,2,1.54650000,0.54356804
128,sort_compresion,3,3.23510000,0.63112295
128,heap_compresion,3,0.97570000,0.63112295
128,sort_sincompresion,3,3.04260000,0.63112295
128,heap_sincompresion,3,0.99240000,0.63112295
128,sort_compresion,4,3.03880000,0.56007386
128,heap_compresion,4,0.99780000,0.56007386
128,sort_sincompresion,4,3.01100000,0.56007386
128,heap_sincompresion,4,0.96150000,0.56007386
128,sort_compresion,5,2.54820000,0.52065209
128,heap_compresion,5,1.00190000,0.52065209
128,sort_sincompresion,5,3.00130000,0.52065209
128,heap_sincompresion,5,0.99940000,0.52065209
256,sort_compresion,1,10.51010000,0.54393290
256,heap_compresion,1,4.00230000,0.54393290
256,sort_sincompresion,1,11.61050000,0.54393290
256,heap_sincompresion,1,4.50540000,0.54393290
256,sort_compresion,2,10.01060000,0.51235993
256,heap_compresion,2,4.99840000,0.51235993
256,sort_sincompresion,2,12.06040000,0.51235993
256,heap_sincompresion,2,4.02200000,0.51235993
256,sort_compresion,3,11.01760000,0.53635226
256,heap_compresion,3,4.04530000,0.53635226
256,sort_sincompresion,3,11.50930000,0.53635226
256,heap_sincompresion,3,3.99970000,0.53635226
256,sort_compresion,4,10.05870000,0.52504451
256,heap_compresion,4,4.16700000,0.52504451
256,sort_sincompresion,4,11.19730000,0.52504451
256,heap_sincompresion,4,4.99880000,0.52504451
256,sort_compresion,5,10.51330000,0.53744380
256,heap_compresion,5,3.99890000,0.53744380
256,sort_sincompresion,5,10.41740000,0.53744380
256,heap_sincompresion,5,4.51090000,0.53744380
512,sort_compresion,1,47.41810000,0.56299418
512,heap_compresion,1,18.60790000,0.56299418
512,sort_sincompresion,1,47.06380000,0.56299418
512,heap_sincompresion,1,19.71780000,0.56299418
512,sort_compresion,2,68.90040000,0.54224895
512,heap_compresion,2,21.03450000,0.54224895
512,sort_sincompresion,2,45.04100000,0.54224895
512,heap_sincompresion,2,17.02640000,0.54224895
512,sort_compresion,3,42.56600000,0.52340420
512,heap_compresion,3,17.50610000,0.52340420
512,sort_sincompresion,3,46.94560000,0.52340420
512,heap_sincompresion,3,18.06590000,0.52340420
512,sort_compresion,4,47.94700000,0.57126219
512,heap_compresion,4,17.51500000,0.57126219
512,sort_sincompresion,4,47.19750000,0.57126219
512,heap_sincompresion,4,20.79410000,0.57126219
512,sort_compresion,5,59.22540000,0.53864014
512,heap_compresion,5,34.58760000,0.53864014
512,sort_sincompresion,5,68.09590000,0.53864014
512,heap_sincompresion,5,26.02720000,0.53864014
1024,sort_compresion,1,244.04350000,0.54022705
1024,heap_compresion,1,73.58760000,0.54022705
1024,sort_sincompresion,1,212.78050000,0.54022705
1024,heap_sincompresion,1,62.00530000,0.54022705
1024,sort_compresion,2,195.31380000,0.52283701
1024,heap_compresion,2,62.01470000,0.52283701
1024,sort_sincompresion,2,227.79390000,0.52283701
1024,heap_sincompresion,2,136.59300000,0.52283701
1024,sort_compresion,3,227.14170000,0.53948324
1024,heap_compresion,3,65.56820000,0.53948324
1024,sort_sincompresion,3,216.19890000,0.53948324
1024,heap_sincompresion,3,72.68470000,0.53948324
1024,sort_compresion,4,199.63120000,0.53492416
1024,heap_compresion,4,70.13100000,0.53492416
1024,sort_sincompresion,4,209.56370000,0.53492416
1024,heap_sincompresion,4,66.63470000,0.53492416
1024,sort_compresion,5,202.72820000,0.53227696
1024,heap_compresion,5,62.15650000,0.53227696
1024,sort_sincompresion,5,204.51380000,0.53227696
1024,heap_sincompresion,5,60.71080000,0.53227696
2048,sort_compresion,1,849.66770000,0.51641390
2048,heap_compresion,1,267.03780000,0.51641390
2048,sort_sincompresion,1,945.85950000,0.51641390
2048,heap_sincompresion,1,255.07540000,0.51641390
2048,sort_compresion,2,834.83220000,0.52028797
2048,heap_compresion,2,242.51390000,0.52028797
2048,sort_sincompresion,2,994.36860000,0.52028797
2048,heap_sincompresion,2,302.50970000,0.52028797
2048,sort_compresion,3,893.48960000,0.51906756
2048,heap_compresion,3,237.91150000,0.51906756
2048,sort_sincompresion,3,898.03880000,0.51906756
2048,heap_sincompresion,3,243.30410000,0.51906756
2048,sort_compresion,4,908.16880000,0.52018284
2048,heap_compresion,4,252.47650000,0.52018284
2048,sort_sincompresion,4,892.07910000,0.52018284
2048,heap_sincompresion,4,262.18840000,0.52018284
2048,sort_compresion,5,836.48220000,0.51664154
2048,heap_compresion,5,250.34300000,0.51664154
2048,sort_sincompresion,5,917.80600000,0.51664154
2048,heap_sincompresion,5,235.34890000,0.51664154
4096,sort_compresion,1,3797.51000000,0.51326668
4096,heap_compresion,1,1039.11430000,0.51326668
4096,sort_sincompresion,1,4695.95780000,0.51326668
4096,heap_sincompresion,1,1285.71530000,0.51326668
4096,sort_compresion,2,3905.21950000,0.51766374
4096,heap_compresion,2,1146.29790000,0.51766374
4096,sort_sincompresion,2,4653.57790000,0.51766374
4096,heap_sincompresion,2,1078.50770000,0.51766374
4096,sort_compresion,3,4052.97800000,0.51864794
4096,heap_compresion,3,1079.25600000,0.51864794
4096,sort_sincompresion,3,4116.75280000,0.51864794
4096,heap_sincompresion,3,1052.37000000,0.51864794
4096,sort_compresion,4,3812.05690000,0.51696291
4096,heap_compresion,4,975.64140000,0.51696291
4096,sort_sincompresion,4,3864.75790000,0.51696291
4096,heap_sincompresion,4,971.02440000,0.51696291
4096,sort_compresion,5,4029.07550000,0.51777073
4096,heap_compresion,5,1057.03860000,0.51777073
4096,sort_sincompresion,5,3839.89250000,0.51777073
4096,heap_sincompresion,5,967.12880000,0.51777073
